time,x,Density,Sulfur
28,35,880,1.2
28,40,880,1.2
28,45,880,1.2
28,50,880,1.2
28,55,880,1.2
28,60,880,1.2
28,65,880,1.2
28,70,880,1.2
28,75,880,1.2
28,80,880,1.2
28,85,880,1.2
28,90,880,1.2
28,95,880,1.2
28,100,880,1.2
28.5,0,880,1.2
28.5,5,880,1.2
28.5,10,880,1.2
28.5,15,880,1.2
28.5,20,880,1.2
28.5,25,880,1.2
28.5,30,880,1.2
28.5,35,880,1.2
28.5,40,880,1.2
28.5,45,880,1.2
28.5,50,880,1.2
28.5,55,880,1.2
28.5,60,880,1.2
28.5,65,880,1.2
28.5,70,880,1.2
28.5,75,880,1.2
28.5,80,880,1.2
28.5,85,880,1.2
28.5,90,880,1.2
28.5,95,880,1.2
28.5,100,880,1.2
29,0,880,1.2
29,5,880,1.2
29,10,880,1.2
29,15,880,1.2
29,20,880,1.2
29,25,880,1.2
29,30,880,1.2
29,35,880,1.2
29,40,880,1.2
29,45,880,1.2
29,50,880,1.2
29,55,880,1.2
29,60,880,1.2
29,65,880,1.2
29,70,880,1.2
29,75,880,1.2
29,80,880,1.2
29,85,880,1.2
29,90,880,1.2
29,95,880,1.2
29,100,880,1.2
29.5,0,880,1.2
29.5,5,880,1.2
29.5,10,880,1.2
29.5,15,880,1.2
29.5,20,880,1.2
29.5,25,880,1.2
29.5,30,880,1.2
29.5,35,880,1.2
29.5,40,880,1.2
29.5,45,880,1.2
29.5,50,880,1.2
29.5,55,880,1.2
29.5,60,880,1.2
29.5,65,880,1.2
29.5,70,880,1.2
29.5,75,880,1.2
29.5,80,880,1.2
29.5,85,880,1.2
29.5,90,880,1.2
29.5,95,880,1.2
29.5,100,880,1.2
30,0,880,1.2
30,5,880,1.2
30,10,880,1.2
30,15,880,1.2
